scientificName,decimalLongitude,decimalLatitude
Desmophyllum pertusum,-8.470000267,4.460000038
Desmophyllum pertusum,-11.10000038,57.45000076
Desmophyllum pertusum,-79.61453,28.03682
Desmophyllum pertusum,7.920000076,64.04000092
Desmophyllum pertusum,-9.25,60.56000137
Desmophyllum pertusum,-79.6212,28.79588
Desmophyllum pertusum,-79.61373,28.03833
Desmophyllum pertusum,-51.9336,-34.6675
Desmophyllum pertusum,-119.13835,33.70972
Desmophyllum pertusum,9.300000191,65.05000305
Desmophyllum pertusum,-9,48
Desmophyllum pertusum,7.9403,63.9745
Desmophyllum pertusum,-79.72333,28.45848
Desmophyllum pertusum,10.735,59.1037
Desmophyllum pertusum,9.277817,67.466639
Desmophyllum pertusum,-7,47
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,14.40562317,68.92283655
Desmophyllum pertusum,-79.61508,28.04139
Desmophyllum pertusum,-7,47
Desmophyllum pertusum,-8,48
Desmophyllum pertusum,20.59000015,70.33000183
Desmophyllum pertusum,-79.61661,28.77578
Desmophyllum pertusum,5.997166309,65.7389623
Desmophyllum pertusum,14.45756059,68.90048575
Desmophyllum pertusum,-8,47
Desmophyllum pertusum,-11.75,51.45000076
Desmophyllum pertusum,5.7259,63.5129
Desmophyllum pertusum,-7,47
Desmophyllum pertusum,-18.78000069,63.22999954
Desmophyllum pertusum,-79.11000061,31.43000031
Desmophyllum pertusum,22.4792,70.2715
Desmophyllum pertusum,-79.31999969,27.04999924
Desmophyllum pertusum,-84.72991,26.18851
Desmophyllum pertusum,-75.79171,34.32389
Desmophyllum pertusum,-31,37
Desmophyllum pertusum,6.329999924,-26.14999962
Desmophyllum pertusum,-13.27999973,57.5
Desmophyllum pertusum,6.7128,62.9668
Desmophyllum pertusum,-88.37739,29.06936
Desmophyllum pertusum,14.260709,69.021061
Desmophyllum pertusum,-79.61461,28.04051
Desmophyllum pertusum,5.130000114,63.02000046
Desmophyllum pertusum,-14.82999992,53.11999893
Desmophyllum pertusum,9.81499958,39.71500015
Desmophyllum pertusum,10.8323,66.9077
Desmophyllum pertusum,-21.52499962,63.15999985
Desmophyllum pertusum,14.36936365,68.91729417
Desmophyllum pertusum,10.47000027,59.04999924
Desmophyllum pertusum,-79.61686,28.27318
Desmophyllum pertusum,6.696197031,66.24844754
Desmophyllum pertusum,8.074999809,64.09500122
Desmophyllum pertusum,-79.75895,28.32043
Desmophyllum pertusum,-84.73122,26.20442
Desmophyllum pertusum,-8,48
Desmophyllum pertusum,5.730000019,60.65000153
Desmophyllum pertusum,14.38171185,68.91067795
Desmophyllum pertusum,6.202925,65.413408
Desmophyllum pertusum,-15.64999962,55.58000183
Desmophyllum pertusum,-176.6499939,-12.53999996
Desmophyllum pertusum,-13.42500019,57.19499969
Desmophyllum pertusum,14.259961,69.01950512
Desmophyllum pertusum,9.8,63.5833
Desmophyllum pertusum,-14.97999954,56.56000137
Desmophyllum pertusum,-6.5,44
Desmophyllum pertusum,10.8025,59.0957
Desmophyllum pertusum,-84.72744,26.20476
Desmophyllum pertusum,-15.65166712,59.30750084
Desmophyllum pertusum,-14.51000023,57.59999847
Desmophyllum pertusum,-91.44999695,-0.99000001
Desmophyllum pertusum,-79.75163,28.32145
Desmophyllum pertusum,-13.93999958,59.77999878
Desmophyllum pertusum,-119.13867,33.70941
Desmophyllum pertusum,10.43999958,59.06000137
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,-13.38000011,57.45000076
Desmophyllum pertusum,-84.73167,26.20443
Desmophyllum pertusum,-7.219166667,36.28416667
Desmophyllum pertusum,8.056,64.0888
Desmophyllum pertusum,-79.75164,28.32067
Desmophyllum pertusum,6.2083,60.2833
Desmophyllum pertusum,-17.09000015,32.58000183
Desmophyllum pertusum,-176.8699951,-12.52999973
Desmophyllum pertusum,-118.2600021,28.95000076
Desmophyllum pertusum,18.365182,70.73759
Desmophyllum pertusum,-79.8167,29.65
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,-13.93999958,59.77999878
Desmophyllum pertusum,-9,62.04999924
Desmophyllum pertusum,11.1232,66.9699
Desmophyllum pertusum,-79.6139,28.03891
Desmophyllum pertusum,7.25,65.33999634
Desmophyllum pertusum,-7,47
Desmophyllum pertusum,-12.03999996,60.31999969
Desmophyllum pertusum,5.929999828,59.77000046
Desmophyllum pertusum,-44.4333,-24.9
Desmophyllum pertusum,-125.01126,48.24295
Desmophyllum pertusum,5.019999981,62.54999924
Desmophyllum pertusum,-118.2600021,28.95000076
Desmophyllum pertusum,-176.6508331,-12.53528023
Desmophyllum pertusum,-88.37723,29.06944
Desmophyllum pertusum,-79.75164,28.32148
Desmophyllum pertusum,14.38605352,68.90460946
Desmophyllum pertusum,6.448059,65.848794
Desmophyllum pertusum,-62.25,16.72999954
Desmophyllum pertusum,-79.61408,28.03751
Desmophyllum pertusum,-79.61342,28.03777
Desmophyllum pertusum,22.480617,70.270086
Desmophyllum pertusum,9.2917,63.5533
Desmophyllum pertusum,7.929999828,64.12999725
Desmophyllum pertusum,9.579999924,63.75
Desmophyllum pertusum,-84.59713,25.67607
Desmophyllum pertusum,-62.86999893,11.60000038
Desmophyllum pertusum,-79.7606,28.31957
Desmophyllum pertusum,6.199999809,60.27000046
Desmophyllum pertusum,-14.56000042,56.33000183
Desmophyllum pertusum,-94.08,18.93
Desmophyllum pertusum,-84.73225,26.19736
Desmophyllum pertusum,-51.8833,-34.5
Desmophyllum pertusum,-79.4883,27.3883
Desmophyllum pertusum,5.946216275,63.6734332
Desmophyllum pertusum,-88.01173,29.16475
Desmophyllum pertusum,-4,46
Desmophyllum pertusum,7.8333,64.4167
Desmophyllum pertusum,14.48036033,68.88313929
Desmophyllum pertusum,-119.46984,33.91889
Desmophyllum pertusum,-119.13867,33.70941
Desmophyllum pertusum,-79.75935,28.32111
Desmophyllum pertusum,-6.53000021,35.31000137
Desmophyllum pertusum,14.43411934,68.91274093
Desmophyllum pertusum,-11.55,29.22166667
Desmophyllum pertusum,-20.19000053,63.45000076
Desmophyllum pertusum,-79.6237,28.79405
Desmophyllum pertusum,-130.8300018,46.66999817
Desmophyllum pertusum,-84.73132,26.18657
Desmophyllum pertusum,-8.25,48.15999985
Desmophyllum pertusum,-79.61763,28.27601
Desmophyllum pertusum,6.599999905,64.62000275
Desmophyllum pertusum,-8.899999619,60.125
Desmophyllum pertusum,-79.59999847,26.39999962
Desmophyllum pertusum,-79.75868,28.32096
Desmophyllum pertusum,14.40833318,68.92706134
Desmophyllum pertusum,8.109999657,64.09999847
Desmophyllum pertusum,-79.75875,28.31991
Desmophyllum pertusum,-79.6131,28.039
Desmophyllum pertusum,-119.13129,33.70712
Desmophyllum pertusum,-79.55000305,28.13332939
Desmophyllum pertusum,5.369999886,63.18000031
Desmophyllum pertusum,-15,55
Desmophyllum pertusum,-119.47259,33.91962
Desmophyllum pertusum,-79.80000305,25.95000076
Desmophyllum pertusum,-79.76526,28.39018
Desmophyllum pertusum,21.25,70.23000336
Desmophyllum pertusum,-14.80000019,56.47999954
Desmophyllum pertusum,7.58456276,65.70818865
Desmophyllum pertusum,-18.51000023,58.77999878
Desmophyllum pertusum,-15,55
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,-84.7561,26.33566
Desmophyllum pertusum,-11.72999954,51.45000076
Desmophyllum pertusum,-11.76000023,51.41999817
Desmophyllum pertusum,-8.710000038,36.34999847
Desmophyllum pertusum,-14.70499992,56.95000076
Desmophyllum pertusum,10.7998,59.1002
Desmophyllum pertusum,9.279398,67.465991
Desmophyllum pertusum,7.730000019,65.77999878
Desmophyllum pertusum,17.268823,69.88929
Desmophyllum pertusum,-84.73248,26.19922
Desmophyllum pertusum,12.01000023,66.98000336
Desmophyllum pertusum,-13.24666691,60.42000008
Desmophyllum pertusum,-44.90000153,-25.39999962
Desmophyllum pertusum,-79.69999695,30.96999931
Desmophyllum pertusum,-10.68000031,60.84999847
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,-11.85750008,60.46833229
Desmophyllum pertusum,-8.034999847,64.06999969
Desmophyllum pertusum,9.3,65.0583
Desmophyllum pertusum,-8,48
Desmophyllum pertusum,6.570000172,65.05999756
Desmophyllum pertusum,-79.72345,28.45857
Desmophyllum pertusum,-6.539999962,60.56000137
Desmophyllum pertusum,9.81000042,63.59999847
Desmophyllum pertusum,-12.76500034,52.13999939
Desmophyllum pertusum,-79.61775,28.27605
Desmophyllum pertusum,10.5055814,63.6037941
Desmophyllum pertusum,-91.5486,27.7122
Desmophyllum pertusum,19.82999992,70.44000244
Desmophyllum pertusum,-79.64976,30.86685
Desmophyllum pertusum,20.61000061,70.37000275
Desmophyllum pertusum,5.079999924,63.02000046
Desmophyllum pertusum,10.8895,66.9235
Desmophyllum pertusum,-30.20000076,34.02999878
Desmophyllum pertusum,9.5833,63.75
Desmophyllum pertusum,-91.30166626,27.71582985
Desmophyllum pertusum,-10.30000019,60.88000107
Desmophyllum pertusum,6.211235,65.414188
Desmophyllum pertusum,-88.01058,29.17031
Desmophyllum pertusum,-4,46
Desmophyllum pertusum,-119.30222,34.03782
Desmophyllum pertusum,-88.37705,29.06965
Desmophyllum pertusum,5.619999886,63.72000122
Desmophyllum pertusum,9.070024,67.370662
Desmophyllum pertusum,5.800000191,63.59000015
Desmophyllum pertusum,18.066183,70.143624
