scientificName,decimalLongitude,decimalLatitude
Desmophyllum dianthus,-117.40027,32.62154
Desmophyllum dianthus,-119.49483,32.55911
Desmophyllum dianthus,-178.593333,-44.46
Desmophyllum dianthus,-119.48849,33.92187
Desmophyllum dianthus,-119.48561,33.92185
Desmophyllum dianthus,170.4395,-51.9285
Desmophyllum dianthus,174.4700012,-41.47000122
Desmophyllum dianthus,163.171661,-18.583334
Desmophyllum dianthus,178.4215,-39.476
Desmophyllum dianthus,179.431333,-34.757667
Desmophyllum dianthus,-119.48621,33.9211
Desmophyllum dianthus,166.8416748,-49.17499924
Desmophyllum dianthus,175.3,-49.955
Desmophyllum dianthus,-72.59999847,-42.54999924
Desmophyllum dianthus,-73.86669922,-43.93330002
Desmophyllum dianthus,-72.45999908,-42.38000107
Desmophyllum dianthus,-119.4732,33.92129
Desmophyllum dianthus,176.8300018,-37.25
Desmophyllum dianthus,-178.6499939,-43.06000137
Desmophyllum dianthus,-6.579999924,35.77999878
Desmophyllum dianthus,-74.08000183,-52.88000107
Desmophyllum dianthus,-118.45737,32.71073
Desmophyllum dianthus,169.036667,-43.13
Desmophyllum dianthus,77.52999878,-37.84999847
Desmophyllum dianthus,-118.3000031,28.89999962
Desmophyllum dianthus,175.7899933,-44.13000107
Desmophyllum dianthus,-90.44000244,0.400000006
Desmophyllum dianthus,-89.8116684,-1.28666997
Desmophyllum dianthus,-117.44979,32.63806
Desmophyllum dianthus,-72.82330322,-43.7038002
Desmophyllum dianthus,147.3500061,-44.20999908
Desmophyllum dianthus,-179.005798,-43.748699
Desmophyllum dianthus,173,-44.8
Desmophyllum dianthus,166.697333,-48.986
